client_id,age,sexe,ville,segment,canal_acquisition,frequence_achat,satisfaction,nb_commandes,montant_total,montant_moyen,nb_produits_distincts,derniere_commande,premiere_commande,recence_jours,anciennete_jours,produit_favori,note_moyenne,nb_avis,Neutre,Négatif,Positif,nb_reclamations,gravite_totale,derniere_reclamation,nb_non_resolues,score_frequence,score_montant,score_recence,score_diversite,score_valeur,segment_ia,risque_churn,niveau_risque
CL001,42,F,Kara,Premium,Référence,,5.0,1.0,5000.0,5000.0,1.0,2026-06-03,2026-06-03,93.0,93.0,Pack Premium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,1,3,1,1.0,Acheteur Opportuniste,42.2,Moyen
CL002,47,M,Lomé,Régulier,WhatsApp,,2.0,4.0,220000.0,55000.0,2.0,2026-07-14,2025-01-08,52.0,604.0,Produit B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3,3,3,2,2.6666666666666665,Régulier,28.8,Faible
CL003,47,,Kpalimé,Dormant,Facebook,,3.0,2.0,65000.0,32500.0,1.0,2025-02-13,2025-01-01,568.0,611.0,Pack Entreprise,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,2,2,1,1,1.6666666666666667,Explorateur à risque,45.0,Moyen
CL004,27,F,Kpalimé,Dormant,WhatsApp,Trimestrielle,1.0,5.0,395000.0,79000.0,4.0,2026-05-21,2025-08-02,106.0,398.0,Pack Premium,2.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,4,4,3,4,4.0,Régulier,58.4,Moyen
CL005,31,F,Tsévié,Premium,Référence,Occasionnelle,2.0,2.0,20000.0,10000.0,2.0,2026-05-25,2026-05-07,102.0,120.0,Service X,3.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,2,1,3,2,1.6666666666666667,Acheteur Opportuniste,48.8,Moyen
CL006,24,F,Kpalimé,Dormant,WhatsApp,Trimestrielle,1.0,1.0,250000.0,250000.0,1.0,2025-10-10,2025-10-10,329.0,329.0,Pack Entreprise,1.0,1.0,0.0,0.0,1.0,3.0,7.0,2026-09-03,3.0,1,3,1,1,1.6666666666666667,Explorateur à risque,91.0,Élevé
CL007,35,,Kpalimé,Nouveau,Instagram,,2.0,4.0,150000.0,37500.0,3.0,2026-08-31,2025-07-03,4.0,428.0,Pack Entreprise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4,3,4,3,3.3333333333333335,Régulier,9.6,Faible
CL008,35,M,Atakpamé,Premium,Facebook,Mensuelle,1.0,5.0,200000.0,40000.0,4.0,2026-07-23,2025-02-05,43.0,576.0,Pack Premium,5.0,1.0,0.0,0.0,1.0,3.0,4.0,2025-12-23,2.0,4,3,3,4,3.6666666666666665,Régulier,53.2,Moyen
CL009,29,,Kara,Régulier,Boutique,Occasionnelle,2.0,3.0,225000.0,75000.0,2.0,2026-06-10,2025-02-08,86.0,573.0,Pack Entreprise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3,3,3,2,2.6666666666666665,Régulier,42.4,Moyen
CL010,27,M,Lomé,Régulier,Facebook,,1.0,2.0,85000.0,42500.0,2.0,2026-09-04,2025-04-06,0.0,516.0,Service X,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2025-04-03,1.0,2,2,4,2,2.0,Acheteur Opportuniste,26.0,Faible
CL011,31,M,Tsévié,Premium,Référence,,5.0,5.0,440000.0,88000.0,3.0,2026-05-12,2025-03-14,115.0,539.0,Pack Entreprise,5.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,4,4,3,3,3.6666666666666665,Brand Lover,45.0,Moyen
CL012,22,F,Agoè-Nyivé,Premium,Référence,,2.0,4.0,145000.0,36250.0,4.0,2026-09-01,2025-02-11,3.0,570.0,Pack Premium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4,3,4,4,3.6666666666666665,Régulier,9.2,Faible
CL013,38,,Atakpamé,Premium,WhatsApp,Mensuelle,3.0,2.0,260000.0,130000.0,2.0,2026-02-07,2026-01-11,209.0,236.0,Pack Premium,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2025-12-30,0.0,2,4,2,2,2.6666666666666665,Explorateur à risque,45.0,Moyen
CL014,22,F,Lomé,Dormant,Facebook,Mensuelle,5.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,3.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,1,1,4,1,1.0,Prospect / Jamais acheté,5.0,Faible
CL015,27,M,Kpalimé,Régulier,Site web,Mensuelle,3.0,3.0,160000.0,53333.333333333336,2.0,2026-09-01,2025-12-12,3.0,266.0,Service X,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2025-05-25,1.0,3,3,4,2,2.6666666666666665,Régulier,11.2,Faible
CL016,55,M,Atakpamé,Nouveau,Site web,Occasionnelle,4.0,2.0,10000.0,5000.0,1.0,2026-04-30,2026-01-14,127.0,233.0,Pack Entreprise,4.0,2.0,0.0,0.0,2.0,2.0,3.0,2026-08-17,2.0,2,1,3,1,1.3333333333333333,Acheteur Opportuniste,65.0,Élevé
CL017,24,M,Atakpamé,Nouveau,Instagram,Trimestrielle,5.0,3.0,110000.0,36666.666666666664,3.0,2026-08-28,2026-04-30,7.0,127.0,Service X,0.0,0.0,0.0,0.0,0.0,3.0,7.0,2026-04-21,2.0,3,2,4,3,2.6666666666666665,Régulier,22.8,Faible
CL018,29,F,Kara,Dormant,WhatsApp,,3.0,1.0,50000.0,50000.0,1.0,2026-02-02,2026-02-02,214.0,214.0,Service X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,2,2,1,1.3333333333333333,Explorateur à risque,50.0,Moyen
CL019,27,M,Tsévié,Dormant,Boutique,Occasionnelle,1.0,4.0,455000.0,113750.0,2.0,2026-08-09,2025-02-07,26.0,574.0,Pack Entreprise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4,4,4,2,3.3333333333333335,Régulier,26.4,Faible
CL020,42,F,Atakpamé,Premium,WhatsApp,Occasionnelle,4.0,1.0,35000.0,35000.0,1.0,2025-10-12,2025-10-12,327.0,327.0,Produit C,1.0,1.0,0.0,1.0,0.0,2.0,4.0,2026-08-31,2.0,1,1,1,1,1.0,Explorateur à risque,70.0,Élevé
CL021,22,F,Tsévié,Premium,WhatsApp,Trimestrielle,4.0,3.0,200000.0,66666.66666666667,3.0,2026-06-20,2025-02-27,76.0,554.0,Produit C,4.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,3,3,3,3,3.0,Régulier,30.4,Faible
CL022,55,F,Agoè-Nyivé,Régulier,Boutique,Mensuelle,1.0,2.0,115000.0,57500.0,2.0,2026-02-13,2025-05-21,203.0,471.0,Service X,2.8,5.0,1.0,3.0,1.0,0.0,0.0,,0.0,2,2,2,2,2.0,Explorateur à risque,61.0,Élevé
CL023,47,M,Kpalimé,Premium,Site web,Mensuelle,2.0,3.0,190000.0,63333.333333333336,3.0,2026-03-13,2025-02-20,175.0,561.0,Service X,2.0,3.0,1.0,1.0,1.0,0.0,0.0,,0.0,3,3,2,3,3.0,Dormant,53.0,Moyen
CL024,19,M,Tsévié,Premium,Référence,,4.0,4.0,165000.0,41250.0,3.0,2026-04-25,2025-05-30,132.0,462.0,Service X,4.0,2.0,0.0,0.0,2.0,1.0,1.0,2026-04-11,0.0,4,3,3,3,3.3333333333333335,Brand Lover,45.0,Moyen
CL025,19,,Kpalimé,Régulier,WhatsApp,Mensuelle,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2026-05-13,1.0,1,1,4,1,1.0,Prospect / Jamais acheté,39.0,Moyen
CL026,42,M,Kpalimé,Premium,Boutique,Trimestrielle,2.0,1.0,75000.0,75000.0,1.0,2025-09-19,2025-09-19,350.0,350.0,Service X,3.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,1,2,1,1,1.3333333333333333,Explorateur à risque,58.0,Moyen
CL027,55,,Agoè-Nyivé,Premium,Facebook,,2.0,3.0,140000.0,46666.666666666664,3.0,2025-10-16,2025-02-23,323.0,558.0,Produit C,3.0,2.0,0.0,1.0,1.0,0.0,0.0,,0.0,3,3,1,3,3.0,Dormant,53.0,Moyen
CL028,29,,Agoè-Nyivé,Premium,Site web,Occasionnelle,2.0,1.0,25000.0,25000.0,1.0,2025-01-20,2025-01-20,592.0,592.0,Produit C,5.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,1,1,1,1,1.0,Explorateur à risque,58.0,Moyen
CL029,31,M,Kpalimé,Premium,Référence,Trimestrielle,3.0,6.0,185000.0,30833.333333333332,5.0,2026-08-18,2025-04-09,17.0,513.0,Pack Premium,2.0,1.0,0.0,1.0,0.0,1.0,3.0,2026-07-26,1.0,4,3,4,4,3.6666666666666665,Régulier,16.8,Faible
CL030,29,,Tsévié,Dormant,Facebook,,1.0,2.0,85000.0,42500.0,2.0,2026-08-30,2026-01-30,5.0,217.0,Produit C,4.0,3.0,0.0,0.0,3.0,1.0,1.0,2026-01-15,1.0,2,2,4,2,2.0,Acheteur Opportuniste,28.0,Faible
CL031,55,,Atakpamé,Nouveau,Référence,Mensuelle,5.0,2.0,135000.0,67500.0,2.0,2025-09-17,2025-08-05,352.0,395.0,Service X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2,3,1,2,2.3333333333333335,Explorateur à risque,45.0,Moyen
