avis_id,client_id,note,commentaire,sentiment,theme
A001,CL043,3,RAS,Neutre,Autre
A002,CL196,2,,Négatif,
A003,CL169,4,Très bon service,Positif,Service client
A004,CL049,2,Très bon service,Positif,Service client
A005,CL059,2,Très bon service,Positif,Service client
A006,CL121,3,J'adore le produit,Positif,Qualité produit
A007,CL181,4,Bon rapport qualité-prix,Positif,Prix
A008,CL030,4,Très bon service,Positif,Service client
A009,CL114,3,,Neutre,
A010,CL125,4,RAS,Positif,Autre
A011,CL029,2,Livraison trop lente,Négatif,Livraison
A012,CL090,1,Prix un peu élevé,Négatif,Prix
A013,CL073,2,J'adore le produit,Positif,Qualité produit
A014,CL192,5,Réponse rapide,Positif,Service client
A015,CL145,5,Prix un peu élevé,Positif,Prix
A016,CL150,1,,Négatif,
A017,CL197,5,J'adore le produit,Positif,Qualité produit
A018,CL107,1,Prix un peu élevé,Négatif,Prix
A019,CL197,4,Livraison trop lente,Positif,Livraison
A020,CL085,1,Réponse rapide,Positif,Service client
A021,CL175,1,Bon rapport qualité-prix,Positif,Prix
A022,CL096,5,Livraison trop lente,Positif,Livraison
A023,CL083,2,Très bon service,Positif,Service client
A024,CL021,4,RAS,Positif,Autre
A025,CL117,3,Très bon service,Positif,Service client
A026,CL085,1,RAS,Négatif,Autre
A027,CL084,5,J'adore le produit,Positif,Qualité produit
A028,CL055,1,Réponse rapide,Positif,Service client
A029,CL083,1,Livraison trop lente,Négatif,Livraison
A030,CL141,5,Bon rapport qualité-prix,Positif,Prix
A031,CL024,4,Réponse rapide,Positif,Service client
A032,CL046,2,Bon rapport qualité-prix,Positif,Prix
A033,CL023,1,Prix un peu élevé,Négatif,Prix
A034,CL042,4,Bon rapport qualité-prix,Positif,Prix
A035,CL073,2,Livraison trop lente,Négatif,Livraison
A036,CL077,4,Bon rapport qualité-prix,Positif,Prix
A037,CL189,3,J'adore le produit,Positif,Qualité produit
A038,CL092,1,Je n'ai pas reçu ma commande,Négatif,Livraison
A039,CL132,2,RAS,Négatif,Autre
A040,CL115,4,RAS,Positif,Autre
A041,CL069,5,Bon rapport qualité-prix,Positif,Prix
A042,CL024,4,Je n'ai pas reçu ma commande,Positif,Livraison
A043,CL158,2,Bon rapport qualité-prix,Positif,Prix
A044,CL162,4,Livraison trop lente,Positif,Livraison
A045,CL011,5,Je n'ai pas reçu ma commande,Positif,Livraison
A046,CL119,2,J'adore le produit,Positif,Qualité produit
A047,CL127,5,,Positif,
A048,CL022,3,RAS,Neutre,Autre
A049,CL112,1,RAS,Négatif,Autre
A050,CL077,2,J'adore le produit,Positif,Qualité produit
A051,CL176,3,Prix un peu élevé,Négatif,Prix
A052,CL134,4,Réponse rapide,Positif,Service client
A053,CL146,1,,Négatif,
A054,CL020,1,,Négatif,
A055,CL028,5,Bon rapport qualité-prix,Positif,Prix
A056,CL106,1,RAS,Négatif,Autre
A057,CL170,5,Réponse rapide,Positif,Service client
A058,CL091,3,Livraison trop lente,Négatif,Livraison
A059,CL197,5,Très bon service,Positif,Service client
A060,CL030,4,J'adore le produit,Positif,Qualité produit
A061,CL047,4,Très bon service,Positif,Service client
A062,CL022,4,Réponse rapide,Positif,Service client
A063,CL081,5,RAS,Positif,Autre
A064,CL194,4,Réponse rapide,Positif,Service client
A065,CL088,2,Prix un peu élevé,Négatif,Prix
A066,CL048,1,Réponse rapide,Positif,Service client
A067,CL173,1,Bon rapport qualité-prix,Positif,Prix
