commande_id,client_id,date,produit,quantite,montant_fcfa
CMD0001,CL042,2025-03-03,Produit B,2,100000
CMD0002,CL162,2025-04-09,Pack Premium,2,35000
CMD0003,CL093,2026-01-04,Pack Entreprise,5,35000
CMD0004,CL089,2025-01-21,Pack Premium,1,50000
CMD0005,CL174,2025-07-23,Pack Entreprise,5,250000
CMD0006,CL045,2025-10-19,Produit C,2,250000
CMD0007,CL125,2026-04-03,Produit A,3,35000
CMD0008,CL119,2025-05-29,Produit B,2,75000
CMD0009,CL162,2026-08-09,Pack Premium,1,10000
CMD0010,CL042,2025-12-18,Produit B,2,50000
CMD0011,CL168,2025-10-26,Service X,2,75000
CMD0012,CL070,2026-04-01,Produit C,5,250000
CMD0013,CL116,2026-02-28,Produit B,1,5000
CMD0014,CL033,2025-08-29,Service X,2,10000
CMD0015,CL054,2025-06-20,Pack Premium,1,10000
CMD0016,CL017,2026-04-30,Pack Entreprise,1,5000
CMD0017,CL198,2026-02-11,Pack Entreprise,1,10000
CMD0018,CL068,2025-06-09,Produit A,3,35000
CMD0019,CL059,2025-09-11,Service X,2,100000
CMD0020,CL161,2025-05-10,Produit B,5,15000
CMD0021,CL008,2025-02-05,Service X,2,50000
CMD0022,CL122,2026-04-24,Pack Entreprise,2,250000
CMD0023,CL114,2025-05-19,Service X,5,15000
CMD0024,CL152,2026-09-04,Pack Premium,5,75000
CMD0025,CL135,2026-07-01,Produit C,2,100000
CMD0026,CL139,2025-08-21,Produit A,3,35000
CMD0027,CL094,2026-02-27,Produit C,1,35000
CMD0028,CL003,2025-01-01,Pack Entreprise,1,50000
CMD0029,CL074,2026-04-26,Pack Entreprise,1,100000
CMD0030,CL194,2026-05-04,Produit C,1,75000
CMD0031,CL075,2026-09-04,Produit B,1,250000
CMD0032,CL096,2025-07-13,Pack Premium,5,75000
CMD0033,CL102,2025-09-13,Produit B,3,75000
CMD0034,CL057,2025-09-27,Produit A,3,25000
CMD0035,CL133,2025-10-06,Produit C,5,35000
CMD0036,CL106,2025-07-12,Produit A,1,15000
CMD0037,CL075,2025-04-24,Service X,3,100000
CMD0038,CL070,2026-05-19,Produit B,2,5000
CMD0039,CL039,2025-02-20,Pack Entreprise,1,15000
CMD0040,CL027,2025-10-16,Produit C,1,100000
CMD0041,CL187,2025-01-09,Produit B,1,15000
CMD0042,CL004,2026-05-21,Produit B,2,75000
CMD0043,CL080,2026-05-26,Produit C,3,5000
CMD0044,CL085,2025-03-24,Produit B,1,35000
CMD0045,CL199,2026-02-06,Produit A,5,100000
CMD0046,CL047,2025-07-16,Produit C,3,5000
CMD0047,CL032,2025-09-12,Pack Premium,3,25000
CMD0048,CL189,2025-02-04,Produit B,3,10000
CMD0049,CL134,2025-08-02,Pack Premium,3,35000
CMD0050,CL083,2025-06-12,Service X,1,250000
CMD0051,CL134,2025-05-06,Produit C,3,35000
CMD0052,CL051,2026-01-05,Produit A,1,10000
CMD0053,CL061,2026-03-21,Produit C,1,15000
CMD0054,CL071,2026-08-22,Produit A,3,25000
CMD0055,CL003,2025-02-13,Pack Entreprise,3,15000
CMD0056,CL096,2025-04-02,Produit B,1,100000
CMD0057,CL024,2025-12-13,Service X,1,5000
CMD0058,CL092,2025-06-07,Service X,5,10000
CMD0059,CL033,2026-05-15,Produit B,2,250000
CMD0060,CL166,2025-12-22,Pack Premium,1,5000
CMD0061,CL177,2026-01-22,Produit C,1,35000
CMD0062,CL011,2026-05-12,Service X,3,250000
CMD0063,CL076,2026-07-10,Service X,3,25000
CMD0064,CL146,2025-07-11,Pack Entreprise,2,50000
CMD0065,CL188,2026-04-25,Produit C,5,250000
CMD0066,CL042,2025-03-12,Pack Entreprise,1,100000
